Unnamed: 0,name,mapped_data
1635,canada de luque,"Canada de Luque, ,Cordoba,Argentina"
1636,canada de gomez,"Canada de Gomez, ,Santa Fe,Argentina"
3311,yanchep,"Yanchep,Wanneroo,Western Australia,Australia"
3312,yallingup,"Yallingup,Busselton,Western Australia,Australia"
3313,wundowie,"Wundowie,Northam,Western Australia,Australia"
3314,wooroloo,"Wooroloo,Mundaring,Western Australia,Australia"
3315,wongan hills,"Wongan Hills,Wongan-Ballidu,Western Australia,Australia"
3316,willaston,"Willaston,Light,South Australia,Australia"
3317,whyalla,"Whyalla,Whyalla,South Australia,Australia"
3318,wellard,"Wellard,Kwinana,Western Australia,Australia"
3319,wayville,"Wayville,Unley,South Australia,Australia"
3320,waroona,"Waroona,Waroona,Western Australia,Australia"
3321,wanneroo,"Wanneroo,Wanneroo,Western Australia,Australia"
3322,wallaroo,"Wallaroo,Copper Coast,South Australia,Australia"
3323,waikerie,"Waikerie,Loxton Waikerie,South Australia,Australia"
3324,wagin,"Wagin,Wagin,Western Australia,Australia"
3325,waggrakine,"Waggrakine,Geraldton-Greenough,Western Australia,Australia"
3326,victor harbor,"Victor Harbor,Victor Harbor,South Australia,Australia"
3327,vasse,"Vasse,Busselton,Western Australia,Australia"
3328,upper sturt,"Upper Sturt,Adelaide Hills,South Australia,Australia"
3329,unley,"Unley,Unley,South Australia,Australia"
3330,two wells,"Two Wells,Mallala,South Australia,Australia"
3331,tumby bay,"Tumby Bay,Tumby Bay,South Australia,Australia"
3332,trigg,"Trigg,Stirling,Western Australia,Australia"
3333,toodyay,"Toodyay,Toodyay,Western Australia,Australia"
3334,thebarton,"Thebarton,City of West Torrens,South Australia,Australia"
3335,tennant creek,"Tennant Creek,Barkly,Northern Territory,Australia"
3336,tanunda,"Tanunda,Barossa,South Australia,Australia"
3337,tailem bend,"Tailem Bend,Murray Bridge,South Australia,Australia"
3338,swan view,"Swan View,Mundaring,Western Australia,Australia"
3339,swanbourne,"Swanbourne,Nedlands,Western Australia,Australia"
3340,subiaco,"Subiaco,Nedlands,Western Australia,Australia"
