Unnamed: 0,name,mapped_data
355,york australia,",York,Western Australia,Australia"
356,wanneroo australia,",Wanneroo,Western Australia,Australia"
357,busselton australia,",Busselton,Western Australia,Australia"
358,northam australia,",Northam,Western Australia,Australia"
359,mundaring australia,",Mundaring,Western Australia,Australia"
360,charles sturt australia,",Charles Sturt,South Australia,Australia"
361,adelaide hills australia,",Adelaide Hills,South Australia,Australia"
362,wongan-ballidu australia,",Wongan-Ballidu,Western Australia,Australia"
363,barossa australia,",Barossa,South Australia,Australia"
364,light australia,",Light,South Australia,Australia"
365,whyalla australia,",Whyalla,South Australia,Australia"
366,cambridge australia,",Cambridge,Western Australia,Australia"
367,kwinana australia,",Kwinana,Western Australia,Australia"
368,unley australia,",Unley,South Australia,Australia"
369,waroona australia,",Waroona,Western Australia,Australia"
370,copper coast australia,",Copper Coast,South Australia,Australia"
371,loxton waikerie australia,",Loxton Waikerie,South Australia,Australia"
372,wagin australia,",Wagin,Western Australia,Australia"
373,geraldton-greenough australia,",Geraldton-Greenough,Western Australia,Australia"
374,playford australia,",Playford,South Australia,Australia"
375,victor harbor australia,",Victor Harbor,South Australia,Australia"
376,mallala australia,",Mallala,South Australia,Australia"
377,tumby bay australia,",Tumby Bay,South Australia,Australia"
378,stirling australia,",Stirling,Western Australia,Australia"
379,toodyay australia,",Toodyay,Western Australia,Australia"
380,city of west torrens australia,",City of West Torrens,South Australia,Australia"
381,barkly australia,",Barkly,Northern Territory,Australia"
382,murray bridge australia,",Murray Bridge,South Australia,Australia"
383,nedlands australia,",Nedlands,Western Australia,Australia"
384,marion australia,",Marion,South Australia,Australia"
385,streaky bay australia,",Streaky Bay,South Australia,Australia"
386,alexandrina australia,",Alexandrina,South Australia,Australia"
387,kalgoorlie/boulder australia,",Kalgoorlie/Boulder,Western Australia,Australia"
388,city of cockburn australia,",City of Cockburn,Western Australia,Australia"
389,south perth australia,",South Perth,Western Australia,Australia"
390,port pirie city and dists australia,",Port Pirie City and Dists,South Australia,Australia"
391,serpentine-jarrahdale australia,",Serpentine-Jarrahdale,Western Australia,Australia"
392,onkaparinga australia,",Onkaparinga,South Australia,Australia"
393,salisbury australia,",Salisbury,South Australia,Australia"
394,rockingham australia,",Rockingham,Western Australia,Australia"
395,roxby downs australia,",Roxby Downs,South Australia,Australia"
396,roebourne australia,",Roebourne,Western Australia,Australia"
397,kalamunda australia,",Kalamunda,Western Australia,Australia"
398,ravensthorpe australia,",Ravensthorpe,Western Australia,Australia"
399,flinders ranges australia,",Flinders Ranges,South Australia,Australia"
400,prospect australia,",Prospect,South Australia,Australia"
401,yorke peninsula australia,",Yorke Peninsula,South Australia,Australia"
402,adelaide australia,",Adelaide,South Australia,Australia"
403,port lincoln australia,",Port Lincoln,South Australia,Australia"
404,port hedland australia,",Port Hedland,Western Australia,Australia"
405,port augusta australia,",Port Augusta,South Australia,Australia"
406,  australia,", ,South Australia,Australia"
407,murray australia,",Murray,Western Australia,Australia"
408,peterborough australia,",Peterborough,South Australia,Australia"
409,manjimup australia,",Manjimup,Western Australia,Australia"
410,swan australia,",Swan,Western Australia,Australia"
411,darwin australia,",Darwin,Northern Territory,Australia"
412,fremantle australia,",Fremantle,Western Australia,Australia"
413,northampton shire australia,",Northampton Shire,Western Australia,Australia"
414,yankalilla australia,",Yankalilla,South Australia,Australia"
415,east arnhem australia,",East Arnhem,Northern Territory,Australia"
416,east pilbara australia,",East Pilbara,Western Australia,Australia"
417,narrogin australia,",Narrogin,Western Australia,Australia"
418,mount barker australia,",Mount Barker,South Australia,Australia"
419,mount isa australia,",Mount Isa,Queensland,Australia"
420,plantagenet shire australia,",Plantagenet Shire,Western Australia,Australia"
421,moora australia,",Moora,Western Australia,Australia"
422,tea tree gully australia,",Tea Tree Gully,South Australia,Australia"
423,mitcham australia,",Mitcham,South Australia,Australia"
424,merredin australia,",Merredin,Western Australia,Australia"
425,the coorong australia,",The Coorong,South Australia,Australia"
426,yalgoo australia,",Yalgoo,Western Australia,Australia"
427,litchfield australia,",Litchfield,Northern Territory,Australia"
428,augusta-margaret river shire australia,",Augusta-Margaret River Shire,Western Australia,Australia"
429,mid murray australia,",Mid Murray,South Australia,Australia"
430,mandurah australia,",Mandurah,Western Australia,Australia"
431,gosnells australia,",Gosnells,Western Australia,Australia"
432,chittering australia,",Chittering,Western Australia,Australia"
433,wyndham-east kimberley australia,",Wyndham-East Kimberley,Western Australia,Australia"
434,kojonup australia,",Kojonup,Western Australia,Australia"
435,kangaroo island australia,",Kangaroo Island,South Australia,Australia"
436,armadale australia,",Armadale,Western Australia,Australia"
437,katherine australia,",Katherine,Northern Territory,Australia"
438,katanning australia,",Katanning,Western Australia,Australia"
439,northern areas australia,",Northern Areas,South Australia,Australia"
440,harvey australia,",Harvey,Western Australia,Australia"
441,halls creek australia,",Halls Creek,Western Australia,Australia"
