Unnamed: 0,name,mapped_data
473,york western australia australia,",York,Western Australia,Australia"
474,wanneroo western australia australia,",Wanneroo,Western Australia,Australia"
475,busselton western australia australia,",Busselton,Western Australia,Australia"
476,northam western australia australia,",Northam,Western Australia,Australia"
477,mundaring western australia australia,",Mundaring,Western Australia,Australia"
478,charles sturt south australia australia,",Charles Sturt,South Australia,Australia"
479,adelaide hills south australia australia,",Adelaide Hills,South Australia,Australia"
480,wongan-ballidu western australia australia,",Wongan-Ballidu,Western Australia,Australia"
481,barossa south australia australia,",Barossa,South Australia,Australia"
482,light south australia australia,",Light,South Australia,Australia"
483,whyalla south australia australia,",Whyalla,South Australia,Australia"
484,cambridge western australia australia,",Cambridge,Western Australia,Australia"
485,kwinana western australia australia,",Kwinana,Western Australia,Australia"
486,unley south australia australia,",Unley,South Australia,Australia"
487,waroona western australia australia,",Waroona,Western Australia,Australia"
488,copper coast south australia australia,",Copper Coast,South Australia,Australia"
489,loxton waikerie south australia australia,",Loxton Waikerie,South Australia,Australia"
490,wagin western australia australia,",Wagin,Western Australia,Australia"
491,geraldton-greenough western australia australia,",Geraldton-Greenough,Western Australia,Australia"
492,playford south australia australia,",Playford,South Australia,Australia"
493,victor harbor south australia australia,",Victor Harbor,South Australia,Australia"
494,mallala south australia australia,",Mallala,South Australia,Australia"
495,tumby bay south australia australia,",Tumby Bay,South Australia,Australia"
496,stirling western australia australia,",Stirling,Western Australia,Australia"
497,toodyay western australia australia,",Toodyay,Western Australia,Australia"
498,city of west torrens south australia australia,",City of West Torrens,South Australia,Australia"
499,barkly northern territory australia,",Barkly,Northern Territory,Australia"
500,murray bridge south australia australia,",Murray Bridge,South Australia,Australia"
501,nedlands western australia australia,",Nedlands,Western Australia,Australia"
502,marion south australia australia,",Marion,South Australia,Australia"
503,streaky bay south australia australia,",Streaky Bay,South Australia,Australia"
504,alexandrina south australia australia,",Alexandrina,South Australia,Australia"
505,kalgoorlie/boulder western australia australia,",Kalgoorlie/Boulder,Western Australia,Australia"
506,city of cockburn western australia australia,",City of Cockburn,Western Australia,Australia"
507,south perth western australia australia,",South Perth,Western Australia,Australia"
508,port pirie city and dists south australia australia,",Port Pirie City and Dists,South Australia,Australia"
509,serpentine-jarrahdale western australia australia,",Serpentine-Jarrahdale,Western Australia,Australia"
510,onkaparinga south australia australia,",Onkaparinga,South Australia,Australia"
511,salisbury south australia australia,",Salisbury,South Australia,Australia"
512,rockingham western australia australia,",Rockingham,Western Australia,Australia"
513,roxby downs south australia australia,",Roxby Downs,South Australia,Australia"
514,roebourne western australia australia,",Roebourne,Western Australia,Australia"
515,kalamunda western australia australia,",Kalamunda,Western Australia,Australia"
516,ravensthorpe western australia australia,",Ravensthorpe,Western Australia,Australia"
517,flinders ranges south australia australia,",Flinders Ranges,South Australia,Australia"
518,prospect south australia australia,",Prospect,South Australia,Australia"
519,yorke peninsula south australia australia,",Yorke Peninsula,South Australia,Australia"
520,adelaide south australia australia,",Adelaide,South Australia,Australia"
521,port lincoln south australia australia,",Port Lincoln,South Australia,Australia"
522,port hedland western australia australia,",Port Hedland,Western Australia,Australia"
523,port augusta south australia australia,",Port Augusta,South Australia,Australia"
524,  south australia australia,", ,South Australia,Australia"
525,murray western australia australia,",Murray,Western Australia,Australia"
526,peterborough south australia australia,",Peterborough,South Australia,Australia"
527,manjimup western australia australia,",Manjimup,Western Australia,Australia"
528,swan western australia australia,",Swan,Western Australia,Australia"
529,darwin northern territory australia,",Darwin,Northern Territory,Australia"
530,fremantle western australia australia,",Fremantle,Western Australia,Australia"
531,northampton shire western australia australia,",Northampton Shire,Western Australia,Australia"
532,yankalilla south australia australia,",Yankalilla,South Australia,Australia"
533,east arnhem northern territory australia,",East Arnhem,Northern Territory,Australia"
534,east pilbara western australia australia,",East Pilbara,Western Australia,Australia"
535,narrogin western australia australia,",Narrogin,Western Australia,Australia"
536,mount barker south australia australia,",Mount Barker,South Australia,Australia"
537,mount isa queensland australia,",Mount Isa,Queensland,Australia"
538,plantagenet shire western australia australia,",Plantagenet Shire,Western Australia,Australia"
539,  western australia australia,", ,Western Australia,Australia"
540,moora western australia australia,",Moora,Western Australia,Australia"
541,tea tree gully south australia australia,",Tea Tree Gully,South Australia,Australia"
542,mitcham south australia australia,",Mitcham,South Australia,Australia"
543,merredin western australia australia,",Merredin,Western Australia,Australia"
544,the coorong south australia australia,",The Coorong,South Australia,Australia"
545,yalgoo western australia australia,",Yalgoo,Western Australia,Australia"
546,litchfield northern territory australia,",Litchfield,Northern Territory,Australia"
547,augusta-margaret river shire western australia australia,",Augusta-Margaret River Shire,Western Australia,Australia"
548,mid murray south australia australia,",Mid Murray,South Australia,Australia"
549,mandurah western australia australia,",Mandurah,Western Australia,Australia"
550,gosnells western australia australia,",Gosnells,Western Australia,Australia"
551,chittering western australia australia,",Chittering,Western Australia,Australia"
552,wyndham-east kimberley western australia australia,",Wyndham-East Kimberley,Western Australia,Australia"
553,kojonup western australia australia,",Kojonup,Western Australia,Australia"
554,kangaroo island south australia australia,",Kangaroo Island,South Australia,Australia"
555,armadale western australia australia,",Armadale,Western Australia,Australia"
556,katherine northern territory australia,",Katherine,Northern Territory,Australia"
557,katanning western australia australia,",Katanning,Western Australia,Australia"
558,northern areas south australia australia,",Northern Areas,South Australia,Australia"
559,harvey western australia australia,",Harvey,Western Australia,Australia"
560,halls creek western australia australia,",Halls Creek,Western Australia,Australia"
561,albany western australia australia,",Albany,Western Australia,Australia"
562,port adelaide enfield south australia australia,",Port Adelaide Enfield,South Australia,Australia"
563,gawler south australia australia,",Gawler,South Australia,Australia"
564,esperance shire western australia australia,",Esperance Shire,Western Australia,Australia"
565,donnybrook-balingup western australia australia,",Donnybrook-Balingup,Western Australia,Australia"
566,irwin western australia australia,",Irwin,Western Australia,Australia"
567,derby-west kimberley western australia australia,",Derby-West Kimberley,Western Australia,Australia"
568,denmark western australia australia,",Denmark,Western Australia,Australia"
569,cunderdin western australia australia,",Cunderdin,Western Australia,Australia"
570,lower eyre peninsula south australia australia,",Lower Eyre Peninsula,South Australia,Australia"
571,peppermint grove western australia australia,",Peppermint Grove,Western Australia,Australia"
572,coober pedy south australia australia,",Coober Pedy,South Australia,Australia"
573,collie western australia australia,",Collie,Western Australia,Australia"
574,cleve south australia australia,",Cleve,South Australia,Australia"
575,clare and gilbert valleys south australia australia,",Clare and Gilbert Valleys,South Australia,Australia"
576,ceduna south australia australia,",Ceduna,South Australia,Australia"
577,carnarvon western australia australia,",Carnarvon,Western Australia,Australia"
578,capel western australia australia,",Capel,Western Australia,Australia"
579,canning western australia australia,",Canning,Western Australia,Australia"
580,campbelltown south australia australia,",Campbelltown,South Australia,Australia"
581,bunbury western australia australia,",Bunbury,Western Australia,Australia"
582,broome western australia australia,",Broome,Western Australia,Australia"
583,bridgetown-greenbushes western australia australia,",Bridgetown-Greenbushes,Western Australia,Australia"
584,boyup brook western australia australia,",Boyup Brook,Western Australia,Australia"
585,beverley western australia australia,",Beverley,Western Australia,Australia"
586,burnside south australia australia,",Burnside,South Australia,Australia"
587,bassendean western australia australia,",Bassendean,Western Australia,Australia"
588,wakefield south australia australia,",Wakefield,South Australia,Australia"
589,melville western australia australia,",Melville,Western Australia,Australia"
590,alice springs northern territory australia,",Alice Springs,Northern Territory,Australia"
591,dardanup western australia australia,",Dardanup,Western Australia,Australia"
592,east fremantle western australia australia,",East Fremantle,Western Australia,Australia"
593,mosman park western australia australia,",Mosman Park,Western Australia,Australia"
594,claremont western australia australia,",Claremont,Western Australia,Australia"
595,dandaragan western australia australia,",Dandaragan,Western Australia,Australia"
596,joondalup western australia australia,",Joondalup,Western Australia,Australia"
597,  northern territory australia,", ,Northern Territory,Australia"
598,young new south wales australia,",Young,New South Wales,Australia"
599,rockhampton queensland australia,",Rockhampton,Queensland,Australia"
600,gold coast queensland australia,",Gold Coast,Queensland,Australia"
601,yass valley new south wales australia,",Yass Valley,New South Wales,Australia"
602,moira victoria australia,",Moira,Victoria,Australia"
603,maribyrnong victoria australia,",Maribyrnong,Victoria,Australia"
604,toowoomba queensland australia,",Toowoomba,Queensland,Australia"
605,yarra ranges victoria australia,",Yarra Ranges,Victoria,Australia"
606,sunshine coast queensland australia,",Sunshine Coast,Queensland,Australia"
607,waratah/wynyard tasmania australia,",Waratah/Wynyard,Tasmania,Australia"
608,brisbane queensland australia,",Brisbane,Queensland,Australia"
609,grant south australia australia,",Grant,South Australia,Australia"
610,cairns queensland australia,",Cairns,Queensland,Australia"
611,moreton bay queensland australia,",Moreton Bay,Queensland,Australia"
612,coffs harbour new south wales australia,",Coffs Harbour,New South Wales,Australia"
613,logan queensland australia,",Logan,Queensland,Australia"
614,south burnett queensland australia,",South Burnett,Queensland,Australia"
615,wodonga victoria australia,",Wodonga,Victoria,Australia"
616,  victoria australia,", ,Victoria,Australia"
617,hobsons bay victoria australia,",Hobsons Bay,Victoria,Australia"
618,whittlesea victoria australia,",Whittlesea,Victoria,Australia"
619,bland new south wales australia,",Bland,New South Wales,Australia"
620,western downs queensland australia,",Western Downs,Queensland,Australia"
621,meander valley tasmania australia,",Meander Valley,Tasmania,Australia"
622,wyndham victoria australia,",Wyndham,Victoria,Australia"
623,redland queensland australia,",Redland,Queensland,Australia"
624,wellington new south wales australia,",Wellington,New South Wales,Australia"
625,cook queensland australia,",Cook,Queensland,Australia"
626,nillumbik victoria australia,",Nillumbik,Victoria,Australia"
627,southern downs queensland australia,",Southern Downs,Queensland,Australia"
628,warrnambool victoria australia,",Warrnambool,Victoria,Australia"
629,clarence tasmania australia,",Clarence,Tasmania,Australia"
630,manningham victoria australia,",Manningham,Victoria,Australia"
631,baw baw victoria australia,",Baw Baw,Victoria,Australia"
632,knox victoria australia,",Knox,Victoria,Australia"
633,wangaratta victoria australia,",Wangaratta,Victoria,Australia"
634,mackay queensland australia,",Mackay,Queensland,Australia"
635,wagga wagga new south wales australia,",Wagga Wagga,New South Wales,Australia"
636,whitehorse victoria australia,",Whitehorse,Victoria,Australia"
637,fraser coast queensland australia,",Fraser Coast,Queensland,Australia"
638,central coast tasmania australia,",Central Coast,Tasmania,Australia"
639,shoalhaven shire new south wales australia,",Shoalhaven Shire,New South Wales,Australia"
640,mornington peninsula victoria australia,",Mornington Peninsula,Victoria,Australia"
