Unnamed: 0,name,mapped_data
471,york western australia,",York,Western Australia,Australia"
472,wanneroo western australia,",Wanneroo,Western Australia,Australia"
473,busselton western australia,",Busselton,Western Australia,Australia"
474,northam western australia,",Northam,Western Australia,Australia"
475,mundaring western australia,",Mundaring,Western Australia,Australia"
476,charles sturt south australia,",Charles Sturt,South Australia,Australia"
477,adelaide hills south australia,",Adelaide Hills,South Australia,Australia"
478,wongan-ballidu western australia,",Wongan-Ballidu,Western Australia,Australia"
479,barossa south australia,",Barossa,South Australia,Australia"
480,light south australia,",Light,South Australia,Australia"
481,whyalla south australia,",Whyalla,South Australia,Australia"
482,cambridge western australia,",Cambridge,Western Australia,Australia"
483,kwinana western australia,",Kwinana,Western Australia,Australia"
484,unley south australia,",Unley,South Australia,Australia"
485,waroona western australia,",Waroona,Western Australia,Australia"
486,copper coast south australia,",Copper Coast,South Australia,Australia"
487,loxton waikerie south australia,",Loxton Waikerie,South Australia,Australia"
488,wagin western australia,",Wagin,Western Australia,Australia"
489,geraldton-greenough western australia,",Geraldton-Greenough,Western Australia,Australia"
490,playford south australia,",Playford,South Australia,Australia"
491,victor harbor south australia,",Victor Harbor,South Australia,Australia"
492,mallala south australia,",Mallala,South Australia,Australia"
493,tumby bay south australia,",Tumby Bay,South Australia,Australia"
494,stirling western australia,",Stirling,Western Australia,Australia"
495,toodyay western australia,",Toodyay,Western Australia,Australia"
496,city of west torrens south australia,",City of West Torrens,South Australia,Australia"
497,barkly northern territory,",Barkly,Northern Territory,Australia"
498,murray bridge south australia,",Murray Bridge,South Australia,Australia"
499,nedlands western australia,",Nedlands,Western Australia,Australia"
500,marion south australia,",Marion,South Australia,Australia"
501,streaky bay south australia,",Streaky Bay,South Australia,Australia"
502,alexandrina south australia,",Alexandrina,South Australia,Australia"
503,kalgoorlie/boulder western australia,",Kalgoorlie/Boulder,Western Australia,Australia"
504,city of cockburn western australia,",City of Cockburn,Western Australia,Australia"
505,south perth western australia,",South Perth,Western Australia,Australia"
506,port pirie city and dists south australia,",Port Pirie City and Dists,South Australia,Australia"
507,serpentine-jarrahdale western australia,",Serpentine-Jarrahdale,Western Australia,Australia"
508,onkaparinga south australia,",Onkaparinga,South Australia,Australia"
509,salisbury south australia,",Salisbury,South Australia,Australia"
510,rockingham western australia,",Rockingham,Western Australia,Australia"
511,roxby downs south australia,",Roxby Downs,South Australia,Australia"
512,roebourne western australia,",Roebourne,Western Australia,Australia"
513,kalamunda western australia,",Kalamunda,Western Australia,Australia"
514,ravensthorpe western australia,",Ravensthorpe,Western Australia,Australia"
515,flinders ranges south australia,",Flinders Ranges,South Australia,Australia"
516,prospect south australia,",Prospect,South Australia,Australia"
517,yorke peninsula south australia,",Yorke Peninsula,South Australia,Australia"
518,adelaide south australia,",Adelaide,South Australia,Australia"
519,port lincoln south australia,",Port Lincoln,South Australia,Australia"
520,port hedland western australia,",Port Hedland,Western Australia,Australia"
521,port augusta south australia,",Port Augusta,South Australia,Australia"
522,  south australia,", ,South Australia,Australia"
523,murray western australia,",Murray,Western Australia,Australia"
524,peterborough south australia,",Peterborough,South Australia,Australia"
525,manjimup western australia,",Manjimup,Western Australia,Australia"
526,swan western australia,",Swan,Western Australia,Australia"
527,darwin northern territory,",Darwin,Northern Territory,Australia"
528,fremantle western australia,",Fremantle,Western Australia,Australia"
529,northampton shire western australia,",Northampton Shire,Western Australia,Australia"
530,yankalilla south australia,",Yankalilla,South Australia,Australia"
531,east arnhem northern territory,",East Arnhem,Northern Territory,Australia"
532,east pilbara western australia,",East Pilbara,Western Australia,Australia"
533,narrogin western australia,",Narrogin,Western Australia,Australia"
534,mount barker south australia,",Mount Barker,South Australia,Australia"
535,mount isa queensland,",Mount Isa,Queensland,Australia"
536,plantagenet shire western australia,",Plantagenet Shire,Western Australia,Australia"
537,  western australia,", ,Western Australia,Australia"
538,moora western australia,",Moora,Western Australia,Australia"
539,tea tree gully south australia,",Tea Tree Gully,South Australia,Australia"
540,mitcham south australia,",Mitcham,South Australia,Australia"
541,merredin western australia,",Merredin,Western Australia,Australia"
542,the coorong south australia,",The Coorong,South Australia,Australia"
543,yalgoo western australia,",Yalgoo,Western Australia,Australia"
544,litchfield northern territory,",Litchfield,Northern Territory,Australia"
545,augusta-margaret river shire western australia,",Augusta-Margaret River Shire,Western Australia,Australia"
546,mid murray south australia,",Mid Murray,South Australia,Australia"
547,mandurah western australia,",Mandurah,Western Australia,Australia"
548,gosnells western australia,",Gosnells,Western Australia,Australia"
549,chittering western australia,",Chittering,Western Australia,Australia"
550,wyndham-east kimberley western australia,",Wyndham-East Kimberley,Western Australia,Australia"
551,kojonup western australia,",Kojonup,Western Australia,Australia"
552,kangaroo island south australia,",Kangaroo Island,South Australia,Australia"
553,armadale western australia,",Armadale,Western Australia,Australia"
554,katherine northern territory,",Katherine,Northern Territory,Australia"
555,katanning western australia,",Katanning,Western Australia,Australia"
556,northern areas south australia,",Northern Areas,South Australia,Australia"
557,harvey western australia,",Harvey,Western Australia,Australia"
558,halls creek western australia,",Halls Creek,Western Australia,Australia"
559,albany western australia,",Albany,Western Australia,Australia"
