Unnamed: 0,name,mapped_data
135,western australia australia,",,Western Australia,Australia"
136,south australia australia,",,South Australia,Australia"
137,northern territory australia,",,Northern Territory,Australia"
138,queensland australia,",,Queensland,Australia"
139,new south wales australia,",,New South Wales,Australia"
140,victoria australia,",,Victoria,Australia"
141,tasmania australia,",,Tasmania,Australia"
142,australian capital territory australia,",,Australian Capital Territory,Australia"
423,british columbia canada,",,British Columbia,Canada"
424,quebec canada,",,Quebec,Canada"
425,alberta canada,",,Alberta,Canada"
426,ontario canada,",,Ontario,Canada"
427,prince edward island canada,",,Prince Edward Island,Canada"
428,manitoba canada,",,Manitoba,Canada"
429,nova scotia canada,",,Nova Scotia,Canada"
430,saskatchewan canada,",,Saskatchewan,Canada"
431,newfoundland and labrador canada,",,Newfoundland and Labrador,Canada"
432,new brunswick canada,",,New Brunswick,Canada"
433,nunavut canada,",,Nunavut,Canada"
434,northwest territories canada,",,Northwest Territories,Canada"
435,yukon canada,",,Yukon,Canada"
964,wales united kingdom,",,Wales,United Kingdom"
965,england united kingdom,",,England,United Kingdom"
966,scotland united kingdom,",,Scotland,United Kingdom"
967,northern ireland united kingdom,",,Northern Ireland,United Kingdom"
1238,kashmir india,",,Kashmir,India"
1239,tamil nadu india,",,Tamil Nadu,India"
1240,nagaland india,",,Nagaland,India"
1241,arunachal pradesh india,",,Arunachal Pradesh,India"
1242,uttar pradesh india,",,Uttar Pradesh,India"
1243,telangana india,",,Telangana,India"
1244,himachal pradesh india,",,Himachal Pradesh,India"
1245,maharashtra india,",,Maharashtra,India"
1246,karnataka india,",,Karnataka,India"
1247,andhra pradesh india,",,Andhra Pradesh,India"
1248,haryana india,",,Haryana,India"
1249,manipur india,",,Manipur,India"
1250,rajasthan india,",,Rajasthan,India"
1251,bihar india,",,Bihar,India"
1252,madhya pradesh india,",,Madhya Pradesh,India"
1253,gujarat india,",,Gujarat,India"
1254,kerala india,",,Kerala,India"
1255,goa india,",,Goa,India"
1256,uttarakhand india,",,Uttarakhand,India"
1257,chhattisgarh india,",,Chhattisgarh,India"
1258,assam india,",,Assam,India"
1259,tripura india,",,Tripura,India"
1260,odisha india,",,Odisha,India"
1261,meghalaya india,",,Meghalaya,India"
1262,west bengal india,",,West Bengal,India"
1263,jharkhand india,",,Jharkhand,India"
1264,mizoram india,",,Mizoram,India"
1265,punjab india,",,Punjab,India"
1266,sikkim india,",,Sikkim,India"
1267,dadra and nagar haveli india,",,Dadra and Nagar Haveli,India"
1268,andaman and nicobar islands india,",,Andaman and Nicobar Islands,India"
1269,pondicherry india,",,Pondicherry,India"
1270,nct india,",,NCT,India"
1271,laccadives india,",,Laccadives,India"
1272,daman and diu india,",,Daman and Diu,India"
1273,chandigarh india,",,Chandigarh,India"
2351,canterbury new zealand,",,Canterbury,New Zealand"
2352,waikato new zealand,",,Waikato,New Zealand"
2353,auckland new zealand,",,Auckland,New Zealand"
2354,wellington new zealand,",,Wellington,New Zealand"
2355,manawatu-wanganui new zealand,",,Manawatu-Wanganui,New Zealand"
2356,tasman new zealand,",,Tasman,New Zealand"
2357,northland new zealand,",,Northland,New Zealand"
2358,bay of plenty new zealand,",,Bay of Plenty,New Zealand"
2359,southland new zealand,",,Southland,New Zealand"
2360,otago new zealand,",,Otago,New Zealand"
2361,taranaki new zealand,",,Taranaki,New Zealand"
2362,nelson new zealand,",,Nelson,New Zealand"
2363,hawke's bay new zealand,",,Hawke's Bay,New Zealand"
2364,gisborne new zealand,",,Gisborne,New Zealand"
2365,west coast new zealand,",,West Coast,New Zealand"
2366,chatham islands new zealand,",,Chatham Islands,New Zealand"
2367,marlborough new zealand,",,Marlborough,New Zealand"
3487,alabama united states,",,Alabama,United States"
3488,texas united states,",,Texas,United States"
3489,virginia united states,",,Virginia,United States"
3490,delaware united states,",,Delaware,United States"
3491,florida united states,",,Florida,United States"
3492,indiana united states,",,Indiana,United States"
3493,kansas united states,",,Kansas,United States"
3494,kentucky united states,",,Kentucky,United States"
3495,louisiana united states,",,Louisiana,United States"
3496,maryland united states,",,Maryland,United States"
