Unnamed: 0,name,mapped_data
133,western australia,",,Western Australia,Australia"
134,south australia,",,South Australia,Australia"
135,northern territory,",,Northern Territory,Australia"
136,queensland,",,Queensland,Australia"
137,new south wales,",,New South Wales,Australia"
138,victoria,",,Victoria,Australia"
139,tasmania,",,Tasmania,Australia"
140,australian capital territory,",,Australian Capital Territory,Australia"
413,british columbia,",,British Columbia,Canada"
414,quebec,",,Quebec,Canada"
415,alberta,",,Alberta,Canada"
416,ontario,",,Ontario,Canada"
417,prince edward island,",,Prince Edward Island,Canada"
418,manitoba,",,Manitoba,Canada"
419,nova scotia,",,Nova Scotia,Canada"
420,saskatchewan,",,Saskatchewan,Canada"
421,newfoundland and labrador,",,Newfoundland and Labrador,Canada"
422,new brunswick,",,New Brunswick,Canada"
423,nunavut,",,Nunavut,Canada"
424,northwest territories,",,Northwest Territories,Canada"
425,yukon,",,Yukon,Canada"
927,wales,",,Wales,United Kingdom"
928,england,",,England,United Kingdom"
929,scotland,",,Scotland,United Kingdom"
930,northern ireland,",,Northern Ireland,United Kingdom"
1177,kashmir,",,Kashmir,India"
1178,tamil nadu,",,Tamil Nadu,India"
1179,nagaland,",,Nagaland,India"
1180,arunachal pradesh,",,Arunachal Pradesh,India"
1181,uttar pradesh,",,Uttar Pradesh,India"
1182,telangana,",,Telangana,India"
1183,himachal pradesh,",,Himachal Pradesh,India"
1184,maharashtra,",,Maharashtra,India"
1185,karnataka,",,Karnataka,India"
1186,andhra pradesh,",,Andhra Pradesh,India"
1187,haryana,",,Haryana,India"
1188,manipur,",,Manipur,India"
1189,rajasthan,",,Rajasthan,India"
1190,bihar,",,Bihar,India"
1191,madhya pradesh,",,Madhya Pradesh,India"
1192,gujarat,",,Gujarat,India"
1193,kerala,",,Kerala,India"
1194,goa,",,Goa,India"
1195,uttarakhand,",,Uttarakhand,India"
1196,chhattisgarh,",,Chhattisgarh,India"
1197,assam,",,Assam,India"
1198,tripura,",,Tripura,India"
1199,odisha,",,Odisha,India"
1200,meghalaya,",,Meghalaya,India"
1201,west bengal,",,West Bengal,India"
1202,jharkhand,",,Jharkhand,India"
1203,mizoram,",,Mizoram,India"
1204,punjab,",,Punjab,India"
1205,sikkim,",,Sikkim,India"
1206,dadra and nagar haveli,",,Dadra and Nagar Haveli,India"
1207,andaman and nicobar islands,",,Andaman and Nicobar Islands,India"
1208,pondicherry,",,Pondicherry,India"
1209,nct,",,NCT,India"
1210,laccadives,",,Laccadives,India"
1211,daman and diu,",,Daman and Diu,India"
1212,chandigarh,",,Chandigarh,India"
2247,canterbury,",,Canterbury,New Zealand"
2248,waikato,",,Waikato,New Zealand"
2249,auckland,",,Auckland,New Zealand"
2250,wellington,",,Wellington,New Zealand"
2251,manawatu-wanganui,",,Manawatu-Wanganui,New Zealand"
2252,tasman,",,Tasman,New Zealand"
2253,northland,",,Northland,New Zealand"
2254,bay of plenty,",,Bay of Plenty,New Zealand"
2255,southland,",,Southland,New Zealand"
2256,otago,",,Otago,New Zealand"
2257,taranaki,",,Taranaki,New Zealand"
2258,nelson,",,Nelson,New Zealand"
2259,hawke's bay,",,Hawke's Bay,New Zealand"
2260,gisborne,",,Gisborne,New Zealand"
2261,west coast,",,West Coast,New Zealand"
2262,chatham islands,",,Chatham Islands,New Zealand"
2263,marlborough,",,Marlborough,New Zealand"
3336,alabama,",,Alabama,United States"
3337,texas,",,Texas,United States"
3338,virginia,",,Virginia,United States"
3339,delaware,",,Delaware,United States"
3340,indiana,",,Indiana,United States"
3341,kansas,",,Kansas,United States"
3342,kentucky,",,Kentucky,United States"
3343,louisiana,",,Louisiana,United States"
3344,ohio,",,Ohio,United States"
3345,south carolina,",,South Carolina,United States"
3346,arkansas,",,Arkansas,United States"
3347,"washington, d.c.",",,Washington, D.C.,United States"
3348,georgia,",,Georgia,United States"
3349,illinois,",,Illinois,United States"
3350,missouri,",,Missouri,United States"
3351,mississippi,",,Mississippi,United States"
3352,north carolina,",,North Carolina,United States"
3353,new jersey,",,New Jersey,United States"
3354,oklahoma,",,Oklahoma,United States"
3355,pennsylvania,",,Pennsylvania,United States"
3356,tennessee,",,Tennessee,United States"
3357,west virginia,",,West Virginia,United States"
3358,connecticut,",,Connecticut,United States"
3359,massachusetts,",,Massachusetts,United States"
3360,maine,",,Maine,United States"
3361,michigan,",,Michigan,United States"
3362,new york,",,New York,United States"
3363,south dakota,",,South Dakota,United States"
3364,iowa,",,Iowa,United States"
3365,minnesota,",,Minnesota,United States"
3366,north dakota,",,North Dakota,United States"
3367,nebraska,",,Nebraska,United States"
3368,new hampshire,",,New Hampshire,United States"
3369,rhode island,",,Rhode Island,United States"
3370,vermont,",,Vermont,United States"
3371,wisconsin,",,Wisconsin,United States"
3372,arizona,",,Arizona,United States"
3373,california,",,California,United States"
3374,new mexico,",,New Mexico,United States"
3375,utah,",,Utah,United States"
3376,colorado,",,Colorado,United States"
3377,nevada,",,Nevada,United States"
3378,idaho,",,Idaho,United States"
3379,alaska,",,Alaska,United States"
3380,washington,",,Washington,United States"
3381,oregon,",,Oregon,United States"
3382,wyoming,",,Wyoming,United States"
3383,hawaii,",,Hawaii,United States"
3566,gauteng,",,Gauteng,South Africa"
3567,north-west,",,North-West,South Africa"
3568,orange free state,",,Orange Free State,South Africa"
3569,mpumalanga,",,Mpumalanga,South Africa"
3570,eastern cape,",,Eastern Cape,South Africa"
3571,northern cape,",,Northern Cape,South Africa"
3572,kwazulu-natal,",,KwaZulu-Natal,South Africa"
3573,limpopo,",,Limpopo,South Africa"
3574,western cape,",,Western Cape,South Africa"
