,lat,lon,name,admin1,admin2,cc,Country,mapped_unit,isInMap
86,37.12604,69.83045,Rustaq,Takhar, ,AF,Afghanistan,"Rustaq, ,Takhar,Afghanistan",No
145,36.81665,70.10211,Mashhad,Badakhshan, ,AF,Afghanistan,"Mashhad, ,Badakhshan,Afghanistan",No
247,32.01583,65.10721,Chinar,Kandahar, ,AF,Afghanistan,"Chinar, ,Kandahar,Afghanistan",No
325,37.52845,70.4482,March,Badakhshan, ,AF,Afghanistan,"March, ,Badakhshan,Afghanistan",No
327,36.52115,68.89985,Aliabad,Kunduz, ,AF,Afghanistan,"Aliabad, ,Kunduz,Afghanistan",No
334,33.17568,68.73045,Sharan,Paktika,Sharan,AF,Afghanistan,"Sharan,Sharan,Paktika,Afghanistan",No
341,17.02741,-61.78136,Falmouth,Saint Paul, ,AG,Antigua and Barbuda,"Falmouth, ,Saint Paul,Antigua and Barbuda",No
383,40.91333,20.55306,Trebinje,Korce,Rrethi i Pogradecit,AL,Albania,"Trebinje,Rrethi i Pogradecit,Korce,Albania",No
518,41.73583,20.32417,Arras,Diber,Rrethi i Dibres,AL,Albania,"Arras,Rrethi i Dibres,Diber,Albania",No
548,40.75111,19.7375,Strum,Fier,Rrethi i Fierit,AL,Albania,"Strum,Rrethi i Fierit,Fier,Albania",No
585,40.68333,19.61944,Patos,Fier,Rrethi i Fierit,AL,Albania,"Patos,Rrethi i Fierit,Fier,Albania",No
592,41.44417,19.74833,Nikel,Durres,Rrethi i Krujes,AL,Albania,"Nikel,Rrethi i Krujes,Durres,Albania",No
596,41.68389,19.71556,Milot,Lezhe,Rrethi i Kurbinit,AL,Albania,"Milot,Rrethi i Kurbinit,Lezhe,Albania",No
881,40.82572,43.95071,Kamo,Shirak, ,AM,Armenia,"Kamo, ,Shirak,Armenia",No
887,40.15446,44.03815,Armavir,Armavir, ,AM,Armenia,"Armavir, ,Armavir,Armenia",No
903,40.54031,44.86918,Gagarin,Geghark'unik'i Marz, ,AM,Armenia,"Gagarin, ,Geghark'unik'i Marz,Armenia",No
994,40.08444,44.30528,Gay,Armavir, ,AM,Armenia,"Gay, ,Armavir,Armenia",No
1051,-12.30261,15.43358,Chela,Huambo,Municipio Londuimbali,AO,Angola,"Chela,Municipio Londuimbali,Huambo,Angola",No
1053,-77.846,166.676,McMurdo Station, , ,AQ, ,"McMurdo Station, , , ",No
