,name,mapped_data
0,Canillo Andorra,",,Canillo,Andorra"
1,Sant Julia de Loria Andorra,",,Sant Julia de Loria,Andorra"
2,Encamp Andorra,",,Encamp,Andorra"
3,Ordino Andorra,",,Ordino,Andorra"
4,Escaldes-Engordany Andorra,",,Escaldes-Engordany,Andorra"
5,La Massana Andorra,",,La Massana,Andorra"
6,Andorra la Vella Andorra,",,Andorra la Vella,Andorra"
7,Umm al Qaywayn United Arab Emirates,",,Umm al Qaywayn,United Arab Emirates"
8,Ra's al Khaymah United Arab Emirates,",,Ra's al Khaymah,United Arab Emirates"
9,Abu Dhabi United Arab Emirates,",,Abu Dhabi,United Arab Emirates"
10,Ash Shariqah United Arab Emirates,",,Ash Shariqah,United Arab Emirates"
11,Dubai United Arab Emirates,",,Dubai,United Arab Emirates"
12,Al Fujayrah United Arab Emirates,",,Al Fujayrah,United Arab Emirates"
13,Ajman United Arab Emirates,",,Ajman,United Arab Emirates"
14,Khowst Afghanistan,",,Khowst,Afghanistan"
15,Vardak Afghanistan,",,Vardak,Afghanistan"
16,Herat Afghanistan,",,Herat,Afghanistan"
17,Faryab Afghanistan,",,Faryab,Afghanistan"
18,Sar-e Pol Afghanistan,",,Sar-e Pol,Afghanistan"
19,Ghazni Afghanistan,",,Ghazni,Afghanistan"
20,Balkh Afghanistan,",,Balkh,Afghanistan"
21,Paktia Afghanistan,",,Paktia,Afghanistan"
22,Badakhshan Afghanistan,",,Badakhshan,Afghanistan"
23,Kandahar Afghanistan,",,Kandahar,Afghanistan"
24,Paktika Afghanistan,",,Paktika,Afghanistan"
25,Nimruz Afghanistan,",,Nimruz,Afghanistan"
26,Takhar Afghanistan,",,Takhar,Afghanistan"
27,Helmand Afghanistan,",,Helmand,Afghanistan"
28,Ghowr Afghanistan,",,Ghowr,Afghanistan"
29,Oruzgan Afghanistan,",,Oruzgan,Afghanistan"
30,Kapisa Afghanistan,",,Kapisa,Afghanistan"
31,Farah Afghanistan,",,Farah,Afghanistan"
32,Parvan Afghanistan,",,Parvan,Afghanistan"
33,Nangarhar Afghanistan,",,Nangarhar,Afghanistan"
34,Jowzjan Afghanistan,",,Jowzjan,Afghanistan"
35,Zabul Afghanistan,",,Zabul,Afghanistan"
36,Daykundi Afghanistan,",,Daykundi,Afghanistan"
37,Kabul Afghanistan,",,Kabul,Afghanistan"
38,Konar Afghanistan,",,Konar,Afghanistan"
39,Badghis Afghanistan,",,Badghis,Afghanistan"
40,Samangan Afghanistan,",,Samangan,Afghanistan"
41,Bamian Afghanistan,",,Bamian,Afghanistan"
42,Laghman Afghanistan,",,Laghman,Afghanistan"
43,Kunduz Afghanistan,",,Kunduz,Afghanistan"
44,Nurestan Afghanistan,",,Nurestan,Afghanistan"
45,Wilayat-e Baghlan Afghanistan,",,Wilayat-e Baghlan,Afghanistan"
46,Lowgar Afghanistan,",,Lowgar,Afghanistan"
47,Panjshir Afghanistan,",,Panjshir,Afghanistan"
48,Saint John Antigua and Barbuda,",,Saint John,Antigua and Barbuda"
49,Saint George Antigua and Barbuda,",,Saint George,Antigua and Barbuda"
50,Saint Peter Antigua and Barbuda,",,Saint Peter,Antigua and Barbuda"
51,Saint Paul Antigua and Barbuda,",,Saint Paul,Antigua and Barbuda"
52,Barbuda Antigua and Barbuda,",,Barbuda,Antigua and Barbuda"
53,Saint Mary Antigua and Barbuda,",,Saint Mary,Antigua and Barbuda"
54,  Anguilla,",, ,Anguilla"
55,Vlore Albania,",,Vlore,Albania"
56,Gjirokaster Albania,",,Gjirokaster,Albania"
57,Korce Albania,",,Korce,Albania"
58,Berat Albania,",,Berat,Albania"
59,Diber Albania,",,Diber,Albania"
60,Elbasan Albania,",,Elbasan,Albania"
61,Kukes Albania,",,Kukes,Albania"
62,Lezhe Albania,",,Lezhe,Albania"
63,Shkoder Albania,",,Shkoder,Albania"
64,Fier Albania,",,Fier,Albania"
65,Tirane Albania,",,Tirane,Albania"
66,Durres Albania,",,Durres,Albania"
67,Vayots' Dzori Marz Armenia,",,Vayots' Dzori Marz,Armenia"
68,Ararat Armenia,",,Ararat,Armenia"
69,Syunik'i Marz Armenia,",,Syunik'i Marz,Armenia"
70,Shirak Armenia,",,Shirak,Armenia"
