,name,mapped_data
0,Canillo,",,Canillo,Andorra"
1,Sant Julia de Loria,",,Sant Julia de Loria,Andorra"
2,Encamp,",,Encamp,Andorra"
3,Ordino,",,Ordino,Andorra"
4,Escaldes-Engordany,",,Escaldes-Engordany,Andorra"
5,La Massana,",,La Massana,Andorra"
6,Andorra la Vella,",,Andorra la Vella,Andorra"
7,Umm al Qaywayn,",,Umm al Qaywayn,United Arab Emirates"
8,Ra's al Khaymah,",,Ra's al Khaymah,United Arab Emirates"
9,Abu Dhabi,",,Abu Dhabi,United Arab Emirates"
10,Ash Shariqah,",,Ash Shariqah,United Arab Emirates"
11,Dubai,",,Dubai,United Arab Emirates"
12,Al Fujayrah,",,Al Fujayrah,United Arab Emirates"
13,Ajman,",,Ajman,United Arab Emirates"
14,Khowst,",,Khowst,Afghanistan"
15,Vardak,",,Vardak,Afghanistan"
16,Herat,",,Herat,Afghanistan"
17,Faryab,",,Faryab,Afghanistan"
18,Sar-e Pol,",,Sar-e Pol,Afghanistan"
19,Ghazni,",,Ghazni,Afghanistan"
20,Balkh,",,Balkh,Afghanistan"
21,Paktia,",,Paktia,Afghanistan"
22,Badakhshan,",,Badakhshan,Afghanistan"
23,Kandahar,",,Kandahar,Afghanistan"
24,Paktika,",,Paktika,Afghanistan"
25,Nimruz,",,Nimruz,Afghanistan"
26,Takhar,",,Takhar,Afghanistan"
27,Helmand,",,Helmand,Afghanistan"
28,Ghowr,",,Ghowr,Afghanistan"
29,Oruzgan,",,Oruzgan,Afghanistan"
30,Kapisa,",,Kapisa,Afghanistan"
31,Farah,",,Farah,Afghanistan"
32,Parvan,",,Parvan,Afghanistan"
33,Nangarhar,",,Nangarhar,Afghanistan"
34,Jowzjan,",,Jowzjan,Afghanistan"
35,Zabul,",,Zabul,Afghanistan"
36,Daykundi,",,Daykundi,Afghanistan"
37,Kabul,",,Kabul,Afghanistan"
38,Konar,",,Konar,Afghanistan"
39,Badghis,",,Badghis,Afghanistan"
40,Samangan,",,Samangan,Afghanistan"
41,Bamian,",,Bamian,Afghanistan"
